Vijay Kumar Banerjee,Add Framebuffer driver for Beaglebone Black,Organization: RTEMS Project
Navaneeth Suresh,Add functionality to store an unresolved merge-state,Organization: Python Software Foundation
Manikishan Ghantasala,Add KNF (NetBSD style) clang-format configuration,Organization: The NetBSD Foundation
Amit Joki,Add Multi-Wiki Support to WikiEduDashboard,Organization: Wikimedia Foundation
Pranav Pandey,Add new features on React Native client,Organization: Rocket.Chat
Yash Lamba,Add New Machine Learning Models,Organization: Python Software Foundation
Tejas Joshi,Add new math.h and complex.h functions as built-ins.,Organization: GNU Compiler Collection
Ajat Prabha,Add Plugin Mechanism to the Dashboard,Organization: Cloud Native Computing Foundation (CNCF)
Rucha Deodhar,Add returning to insert,Organization: MariaDB Foundation
Shannon Sequeira,Add subsampling to aster models,Organization: R project for statistical computing
Aswin M Prabhu,Add support for additional delivery channels to Moira,Organization: Moira
berserker1,Add support for bounce processing in core,Organization: GNU Mailman
Elijah Oyekunle,Add Support for Custom Resource Definitions to the Dashboard,Organization: Cloud Native Computing Foundation (CNCF)
Shawn Feng,Add Support for Extra Optimization Solvers to PortfolioAnalytics,Organization: R project for statistical computing
Alejandro Germain,Add support for the OCI runtime spec by implementing a runc stage2,Organization: Cloud Native Computing Foundation (CNCF)
Nikhil Ramakrishnan,Add Support for WOFF2 Fonts to FreeType,Organization: FreeType
Kris Stern,Add Time-dependent Instrument Response Function to IRISpy,Organization: Open Astronomy
Param Bhavsar,Add traditional machine learning algorithms to the Swift TensorFlow library,Organization: TensorFlow
Njagi Mwaniki,Add Variant Graph (VG) support to BioD,Organization: Open Bioinformatics Foundation
Ziao Wang,Add Windows Support for CVE-Binary-Tool,Organization: Python Software Foundation
NilsHoel,Adding  PRU-ICSS drivers to RTEMS on Texas Instrument Sitara SoCs,Organization: RTEMS Project
zed009,Adding (Updating) macOS support to Cuckoo SandBox,Organization: The Honeynet Project
whiterat,Adding and standardizing image processing operations in tf.image,Organization: TensorFlow
Aditya Vitthalrao,Adding Augmented Reality (AR) support to the MapMint4ME Android Application,Organization: OSGeo
Shunji Nishitani,Adding Autocomplete Function in RubyGems.org Search UI,Organization: Ruby
Ryan Lee,Adding Curiosity to TF-Agents,Organization: TensorFlow
Amit Singh,Adding design policy and improving design,Organization: Boost C++
Abdalla mohamed Abounar,Adding Features to Subcircuits,Organization: CircuitVerse.org
Alish Dipani,Adding Magick back-end support and iruby integration to Rubyplot.,Organization: Ruby Science Foundation
ffmancera,Adding missing features in nftables,Organization: Netfilter project
Kartik Sapra,Adding more options in Fabric8-Maven-Plugin for building images,Organization: JBoss Community
Vlad Apetrei,Adding multi-class classification to machine learning backend,Organization: Moodle
sleep-404,Adding new features and Improving DetectionSuite,Organization: JdeRobot - Universidad Rey Juan Carlos
Ziheng Zhou,Adding plotting engine into PerformanceAnalytics package,Organization: R project for statistical computing
Dhayalan Balakrishnan,Adding Privilege escalation functionality to the monkey,Organization: The Honeynet Project
Asami Doi,Adding QEMU/AArch64 Support to Coreboot,Organization: coreboot
KunalKushwaha,Adding support for missing resources &amp; missing test coverage in Kubernetes-Client.,Organization: JBoss Community
Moazin,Adding support for OpenType-SVG Fonts to FreeType,Organization: FreeType
Victor Antony,Adding traditional Machine Learning algorithms to Swift for Tensorflow,Organization: TensorFlow
SHREYAS KOWSHIK,Addition Of Baseline Models To Model Zoo,Organization: The Julia Language
Lizabeth Katsnelson,Addition of novel CPTAC proteogenomic datasets to the cBioPortal,Organization: cBioPortal for Cancer Genomics
Xavier Figueroa,Additional Format Support for the Python Libraries,Organization: SPDX (Software Product Data Exchange)
Roberto Hueso Gomez,Advanced Kernel Density Estimation Improvements,Organization: mlpack
PRAGATI AGRAWAL,Advancement/Improvement of Settings Subsystem. (Zulip-Server),Organization: Zulip Open Source Project
Panagiotis Lantavos,Adversarial Examples for Natural Language Models,Organization: CLiPS
Angafor Brandon,Agora,Organization: AOSSIE - Australian Open Source Software Innovation and Education
Bomen Derick,Agora Slack Application,Organization: AOSSIE - Australian Open Source Software Innovation and Education
Mukul Kumar,Agora Vote Android Application- Mukul Kumar,Organization: AOSSIE - Australian Open Source Software Innovation and Education
Chirag Singhal,Agora-web Proposal GSOC 2019,Organization: AOSSIE - Australian Open Source Software Innovation and Education
Thanh Trung Dinh,AI Face Recognition with OpenCV DNN module,Organization: KDE Community
Albert Morea,AirMashup for Liquid Galaxy,Organization: Liquid Galaxy project
Rajat Singhal,AirSim Simulator Support for Ardupilot SITL,Organization: Ardupilot.org
Dimitrios Styliaras,Ajax based interface Cscout,Organization: Open Technologies Aliance - GFOSS
Abhishek Chauhan,Alert Redistribution System for Fink : an Apache Spark based Broker for Astronomy,Organization: CERN-HSF
Ashish Jha,Alexa Skill for Rocket.Chat,Organization: Rocket.Chat
Yashas Samaga B L,Allow the OpenCV's DNN module to work with GPUs,Organization: OpenCV
Sukhbir Singh,Amahi 12 Improvements,Organization: Amahi
Vishwas Mittal,Amahi-Anywhere Improvements,Organization: Amahi
Mikhaelle Bueno,Amaya,Organization: Catrobat
Alexey Mogilyovkin,An ambitious step into mariadb developers society,Organization: MariaDB Foundation
Jingrui Li,An application for Céu-Arduino,Organization: LabLua
snowkylin,An Extended Version of “A Concise Handbook of TensorFlow” And A Library of Extended Keras Layers for TF 2.0,Organization: TensorFlow
Caio Tonetti,An Improved Graph Theory IDE,Organization: KDE Community
Daniel Xia,An R package for two new skew-t distributions,Organization: R project for statistical computing
Alaa Salman,Analysis of WARP-V on FireSim with RocketChip,Organization: Free and Open Source Silicon Foundation
Tanmai Khanna,Anaphora Resolution,Organization: Apertium
dev-ritik,Android app improvement,Organization: Named Data Networking Project
Balaji Ramavathu,Android App Improvements,Organization: Amahi
Moksh Mahajan,Android Field Operations App Version 6,Organization: The Mifos Initiative
Saif Abdul Cassim,Android SDK tools in Debian,Organization: Debian
Katerina,Android SDK Tools in Debian,Organization: Debian
Ayush Agarwal,Android Support Annotations,Organization: Checker Framework
Wolf-Legend,Androphsy(OpenMF) - Redesign and Develop Backend in Python,Organization: SCoRe Lab (Sustainable Computing Research Lab)
Akash Srivastava,Annotate Apache Commons Lang with Index Checker.,Organization: Checker Framework
Yong Zheng Xin,Annotating NewsScape with FrameNet 1.7 and Expanding FrameNet with BabelNet and Deep Structured Semantic Models,Organization: Red Hen Lab
Dimitris Katsiros,Anonymisation Through Data Encryption of Sensitive Data in ODT and Text Files in Greek Language,Organization: Open Technologies Aliance - GFOSS
Jeevan,antiSmash submission redesign,Organization: Open Bioinformatics Foundation
Manikaran Singh,Aossie Scholar,Organization: AOSSIE - Australian Open Source Software Innovation and Education
Cameron McWilliams,Apiculture,Organization: The Terasology Foundation
Sarthak Srivastava,App Store for Cytoscape Apps,Organization: National Resource for Network Biology (NRNB)
Songchao Wang,App Store-like Plugin Manager,Organization: MuseScore
Andreas Pronosa,APP4MC capable Real-Time applications on embedded Systems,Organization: The Eclipse Foundation
Mehul Kumar Nirala,Application of ANN Algorithms Implemented in mlpack,Organization: mlpack
Aniruddha Banerjea,Apply Numba Project Wide,Organization: NumFOCUS
Charusso,Apply the Clang Static Analyzer to LLVM-based projects,Organization: LLVM Compiler Infrastructure
Srijan Verma,Applying machine learning techniques to characterising and naming lncRNA genes,Organization: Genes
Arnav Mandal,Approximately Similar file detection in DeltaCode,Organization: AboutCode.org
mvpant,ARTful Buffer Manager,Organization: PostgreSQL
Aayush Surana,ASCII art to Purr Data diagram conversion,Organization: Purr Data
Anubhav Sinha,Asking students why they picked a particular answer,Organization: Oppia Foundation
Andra Danciu,ASoC codec driver,Organization: The Linux Foundation
Raghav Shankar,Asynchronous Cached File Access for Godot Engine,Organization: Godot Engine
Andrei Stanila,Attachments Module Enhancements,Organization: OpenMRS
Mohammed Rahman,Attendance password rotation/expiry,Organization: Moodle
Jaladh Singhal,Auto-generate Filter Curves &amp; Photometry,Organization: Python Software Foundation
Suraj,Automate Reinforcement Process in FreeCAD,Organization: BRL-CAD
Daniel Marshall,Automated requirements checking as a GHC plugin,Organization: Haskell.Org
Aashish Agarwal,Automatic Speech Recognition for European Language (German),Organization: Red Hen Lab
Patel Drumil,Automating configuration for Assignment uploads,Organization: Submitty
Karan Sheth,Automating Packaging for Macports,Organization: MacPorts
Mithilesh Kohale,Automation of create-openmrs-owa with React Components,Organization: OpenMRS
Vaibhav Anand,Awesome Demo Game Project,Organization: Catrobat
Ajay Sharvesh M P,Awesome Game Demo Project - The Binding of Krishna,Organization: Catrobat
Nira Tubert,AXIOM Remote: miscellaneous drawing and management tasks,Organization: apertus° Association
Atul Nair,Ayanda,Organization: Berkman Klein Center for Internet and Society
Nick Rozinsky,BAM to ADAM converter on Sambamba’s base,Organization: Open Bioinformatics Foundation
Ravindra Kumar Meena,Basic Support for Trace Compass,Organization: RTEMS Project
Jasmeet Singh,Basic Viewers in CGAL: Extending viewers to new datastructures,Organization: CGAL project
Pawan Bhadu,Bassa - Making installation of Bassa and containerize in a better way with efficient file storage,Organization: SCoRe Lab (Sustainable Computing Research Lab)
Vibhor Gupta,Bassa: File Management and ACL,Organization: SCoRe Lab (Sustainable Computing Research Lab)
Konstantinos Kyriakidis,Batchtools for Compute Canada,Organization: Canadian Center for Computational Genomics
Juan Martín Loyola,Bayesian Additive Regression Trees in PyMC3,Organization: NumFOCUS
Patrick Podest,BCF Support in BIM WB - FreeCAD,Organization: BRL-CAD
Sheriffo Ceesay,Benchmark Module for Apache Gora,Organization: The Apache Software Foundation
Evelyn Cusi López,Better and more refactorings for Pharo,Organization: Pharo Consortium
Ninad Bhat,Better Periodic Boundary Handling,Organization: NumFOCUS
tusooa,Better undo/redo for Krita,Organization: KDE Community
Hans Goudey,Bevel Custom Profiles,Organization: Blender Foundation
David Méndez,Bidirectional Integration — Paper Writing — LaTeX and JabRef 5.0,Organization: JabRef
Mo Zhou,BLAS and LAPACK runtime switching,Organization: Gentoo Foundation
Arpit Gupta,Block header parsing tool,Organization: GNU Radio
Miral Shah,Boost GIL,Organization: Boost C++
Olzhas Zhumabek,Boost GIL proposal,Organization: Boost C++
Sagnik Dey,Boost.Real,Organization: Boost C++
Kimberly Swanson,Boost.Real: Improving Complexity,Organization: Boost C++
Aperjump,Boost::ublas::DataFrame,Organization: Boost C++
Egor Namakonov,Boosting data race detection by extinguishing state explosion,Organization: The Java Pathfinder Team
Ayeshmantha Perera,Boostrap as a foundation for Reference Application UI Project,Organization: OpenMRS
Manas Awasthi,BridgeDb Major Release,Organization: National Resource for Network Biology (NRNB)
amCap1712,Bring back MusicBrainz for Android to Life,Organization: MetaBrainz Foundation Inc
Sarthak Singhal,Bringing Boost.Astronomy to review-ready state,Organization: Boost C++
Pranam Lashkari,Bringing Boost.Astronomy to review-ready state,Organization: Boost C++
Thomas Ferrand,Bringing Boost.SafeFloat to review-ready state,Organization: Boost C++
makkoncept,Browser Extension for Creative Commons,Organization: Creative Commons
NoraCodes,Build a qual.net network simulator to enable automated testing,Organization: freifunk
Parth Sharma,Build CHAOSS Risk and Growth Maturity and Decline Metrics in Augur,Organization: CHAOSS
Bingwen Ma,Build CHAOSS Risk and Growth Maturity and Decline Metrics in Augur,Organization: CHAOSS
Lorenz Hofmann-Wellenhof,Build tools that bridge OpenAPI and gRPC,Organization: API Client Tools at Google
Rumman Waqar,Building a Gazebo overlay for RobotX simulator,Organization: Open Source Robotics Foundation
Aman Singh Thakur,Building a Python-based Analysis tool for AWAKE experiment,Organization: CERN-HSF
Tulja Vamshi Kiran,Building a Web-based Honeypot &amp; Reporting Threat Intelligence,Organization: OWASP Foundation
Vishnu M,C Header File Parser in Lua Using Clang AST,Organization: LabLua
Aditya Bhagat,CAD GUI pre-processor,Organization: MBDyn - Multibody Dynamics
Nayananga Muhandiram,CAMEL-11492 New Camel website,Organization: The Apache Software Foundation
Roberto Flores,CAMEL-9260 Dataformat Apache Any23,Organization: The Apache Software Foundation
Maandeep Singh,Carbon-footprint Alexa,Organization: AOSSIE - Australian Open Source Software Innovation and Education
himanshu chhabra,Carbonfootprint for IOS and UI improvements,Organization: AOSSIE - Australian Open Source Software Innovation and Education
Dhruv Bhanushali,CC Vocabulary and CC Search,Organization: Creative Commons
Himanshu Jotwani,ccNetViz Project : Advanced Custom Label And Text Formatting,Organization: Computational Biology @ University of Nebraska-Lincoln
Ram Prasath Govindarajan,CDGen,Organization: The Eclipse Foundation
Amaan Iqbal,CDLI - Search Results Visualizations,Organization: Cuneiform Digital Library Initiative (CDLI)
Shaily,CentOS CI User Frontend,Organization: Fedora Project
Charles Escott,CERN Awkward Array Project,Organization: CERN-HSF
Mohit Tyagi,CERNBox: Bring Your Own Application,Organization: CERN-HSF
Hansika Perera,ChainKeeper - Optimized Bitcoin blockchain parser for memory constrained devices,Organization: SCoRe Lab (Sustainable Computing Research Lab)
Poornima Rangoda,ChainKeeper - Optimized Blockchain Analytical Interface for ChainKeeper,Organization: SCoRe Lab (Sustainable Computing Research Lab)
P23,Change Management Tool,Organization: Fedora Project
Junye Wen,Checking Assertions with Symbolic Pathfinder,Organization: The Java Pathfinder Team
Ziyi Liu,Chinese Pipeline,Organization: Red Hen Lab
Peter Vu,Chord Symbol Improvements,Organization: MuseScore
Praduman Goyal,Circular RNA analytics frontend,Organization: Genes
Perman Atayev,CiSE layout as a Cytoscape.js extension and an automated layout web service for popular Cytoscape.js layout extensions,Organization: National Resource for Network Biology (NRNB)
Vaishnav M A,Clickboard Support Under Greybus,Organization: BeagleBoard.org
Lakindu Gunasekara,CLocal Azure Project Proposal - GSoC 2019,Organization: SCoRe Lab (Sustainable Computing Research Lab)
Wenjie Sun,Clonal evolution visualization web-tools,Organization: cBioPortal for Cancer Genomics
Ish Hitesh Bosamiya,Cloth Simulator Improvement,Organization: Blender Foundation
Athina Plaskasoviti,Cloud-init configuration for virt-install/virt-manager,Organization: Libvirt
Rocco Meli,CNN Scoring for Flexible Docking,Organization: Open Chemistry
Suyash Bajpai,co-oCCur: High speed subtitle synchronization tool,Organization: CCExtractor Development
Aniruddha Mysore,Cockpit : The Red Hen Monitoring System,Organization: Red Hen Lab
Jenna Xu,Code Slang,Organization: The Processing Foundation
Stefania Mak,Coding Tutorial Game for Female Teenagers,Organization: Catrobat
Rohan Bhambhoria,Cohesive Editor Support,Organization: coala
casals,Collective Behavior in Terasology,Organization: The Terasology Foundation
Mritunjay Goutam,Common Voice - WebAssembly MP3 Encoding,Organization: Mozilla
Wathsara Daluwatta,Community App Using Go Social Framework -  Animal Rescue App,Organization: SCoRe Lab (Sustainable Computing Research Lab)
Ankit Kataria,Community Platform Improvements,Organization: CircuitVerse.org
Rishabh Rawat,Community Toolbox Overhaul,Organization: Public Lab
Mohd Malik Naik,Complete Porting of Icon API to Drupal 8,Organization: Drupal
Sanyam Dogra,Complete the React Web Toolkit,Organization: Developers Italia
Arihant Parsoya,Completing P5.py API and Improving Documentation,Organization: The Processing Foundation
Thien Hoang,Compute a shortest non-contractible cycle on a surface,Organization: CGAL project
Muskaan,Computer Vision based Alpha Matting,Organization: OpenCV
Apoorva M K,Computer Vision Based PPI Tool,Organization: The Mifos Initiative
Vishal Thamizharasan,Computer vision challenge for the cuneiform script,Organization: Cuneiform Digital Library Initiative (CDLI)
Garvit Dewan,Concurrent-Safe Memory Reclamation Systems,Organization: Chapel
Darjilla Haripriya Reddy,Condition List Project,Organization: OpenMRS
Lavanya Gaur,Conflict Resolution and Offline Support for the AeroGear Android SDK,Organization: JBoss Community
ikstream,ConTest - Wireless resource allocation algorithm testing framework,Organization: freifunk
HastagAB,Continuation of Atarashi OSS,Organization: FOSSology Project
Yiming Wu,Continued development on LANPR engine for Blender,Organization: Blender Foundation
Nancy Chauhan,Continuous Integration for Hardware Projects on LibreCores CI,Organization: Free and Open Source Silicon Foundation
Mrinal Wahal,Continuous Integration of Research Data,Organization: INCF
Fenn25,Continuous Integration Testing (Automation) for Submitty.,Organization: Submitty
Ishan Joshi,Continuum Mechanics: Creating a Rich Beam Solver and Extending continuum mechanics module,Organization: SymPy
Nupur Agrawal,Convert UI to Bootstrap 4,Organization: phpMyAdmin
Sajeer Ahamed Riyaf,Converting GStreamer plugins to Rust,Organization: GNOME
Vishal V,Core Model Migration to TF 2.0,Organization: TensorFlow
Julian Eisel,Core Support of Virtual Reality Headsets through OpenXR,Organization: Blender Foundation
Oliver Ford,cpVis: Interactive visualization for change point exploration and labeling,Organization: R project for statistical computing
Adeel Zafar,Create a Kiwix Hotspot application.,Organization: Kiwix
AdityaJ,Create a subpage for statistics and charts related to a hashtag search,Organization: Wikimedia Foundation
Hrishi Patel,Create a Sugar Dashboard,Organization: Sugar Labs
Inzamam Iqbal,Create a user interface for Ganga that allows for the execution of tasks inside user specified virtual machines.,Organization: CERN-HSF
Héctor Tundidor,Create of new topological rules in gvSIG desktop,Organization: OSGeo
Hiroyuki Katsura,Create Rust bindings for libguestfs,Organization: Libvirt
Nikhil Maan,Creating a C and Fortran Parser for SymPy,Organization: SymPy
Alessandro Vannoni,Creating plots based on DAF data,Organization: Developers Italia
Sahil Jajodia,Creation and usage of disposable Spark on Kubernetes cluster from SWAN notebook,Organization: CERN-HSF
María Belen Guaranda,Creative Commons-Visualize CC Catalog data,Organization: Creative Commons
Anna A. Soboleva,Cross-language analysis of U.S.-Russian relations via Twitter (Task 3) or early Alzheimer syndrome detection in speech analysis (Task 9),Organization: CLiPS
Rohit Kumar Singh,Crowdalert-Mobile,Organization: AOSSIE - Australian Open Source Software Innovation and Education
Aayush Dutt,Cruise Website integration and Improving DevOps,Organization: AOSSIE - Australian Open Source Software Innovation and Education
Piyush Raikwar,CuPy automatic fallback to NumPy,Organization: NumFOCUS
Ashley Kang,Curating Community Creativity for p5.js 1.0,Organization: The Processing Foundation
Diego Velazquez,Curating Deep Nets for the OpenCV DNN Module,Organization: OpenCV
Bowen Hu,Cycle-accurate Verilog Design Simulation Integration,Organization: GNU Radio
Eleftheria,CZML Extractor for poliastro,Organization: Open Astronomy
Jonas Hungershausen,Dart support for the Eclipse IDE,Organization: The Eclipse Foundation
Rohan K,Data pipeline for exchange of genomic variation between public repositories,Organization: Global Alliance for Genomics and Health
Sarvesh Mehta,Data Processor Enhancement,Organization: CiviCRM
Dilshat Salikhov,Data repository service,Organization: Global Alliance for Genomics and Health
harshitbansal05,Data Retriever: Extract Scripts into Separate System,Organization: NumFOCUS
Karthik Ramesh Iyer,Data Visualization library for Swift,Organization: TensorFlow
Ben Ubah,Data-Driven Exploration of the R Community,Organization: R project for statistical computing
Prateek Nayak,Dataframes for D,Organization: D Programming Language
Krishnan Iyer,dav1d ARM NEON optimization,Organization: VideoLAN
Pablo Stebler,dav1d compute shaders,Organization: VideoLAN
Arda Akdemir,De-Bruijn Graph Constructor Package for De-novo Genome Assembly,Organization: The Julia Language
Binguo Bao,de-TOAST'ing using an iterator,Organization: PostgreSQL
Arthur Diniz,Debian Cloud Image Finder,Organization: Debian
Jaskaran Singh,Debian Patch Porting System,Organization: Debian
Dhyey Thakore,Debugger Inline Variable Preview,Organization: Mozilla
Bruna Pinos,Debugging Model Performance in TensorBoard Guide,Organization: TensorFlow
Shoumik Dey,Decoding of ADSB and Multi-Lateral positioning,Organization: AerospaceResearch.net
Fanny Monori,Deep learning based super-resolution algorithms based on OpenCV DNN,Organization: OpenCV
Vinay Pandramish,Deep Learning based Visual Recommendations,Organization: Biomedical Informatics
Ajay Subramanian,Deep Learning in Spiking Neural Networks using GeNN,Organization: INCF
Ronet Swaminathan,Deep learning model for sepsis prediction using high-frequency data,Organization: CBMI@UTHSC
Utkarsh Barsaiyan,Deeper Nextcloud Integration,Organization: Rocket.Chat
Tinko Sebastian Bartels,Delaunay Triangulation and Random Geometries for Boost.Geometry,Organization: Boost C++
Cnly,Dendrite: Feature Completion in Multiple Areas + General Fixes/Improvements,Organization: Matrix.org
Xuewei Meng,Derain Filter in FFmpeg,Organization: FFmpeg
Tharsanan Kurukulasingam,Design and Create CLion plugin for CPAchecker execution,Organization: Software and Computational Systems Lab at LMU Munich
Xinyu You,Design and develop an online deep learning  course for humanists,Organization: Red Hen Lab
Naga Sai Abhinay,Design and Development of Demos and Tools,Organization: Project PANOPTES
Konrad Dębiec,Designing RetroShare for Android with chat backend improvements,Organization: freifunk
Ahmed Essam,Detox++,Organization: shogun.ml
Kirill Nagaitsev,Dev Server Refactor,Organization: webpack
Sharapat Kalabaev,Develop a releasable Uzbek-Qaraqalpaq translation pair,Organization: Apertium
Rammanoj Potla,Develop a tool for event organizers to track developer activity,Organization: Wikimedia Foundation
Ilaria Battiston,Develop Performance Farm Database and Website,Organization: PostgreSQL
Ayush Kumar Sinha,Developer Web Interface for ReactOS with Server-side JavaScript,Organization: ReactOS
Tiffany Jansen,Developing “telescopy”: A Simple API for Retrieving Signal-to-Noise Estimates of an Arbitrary Astronomical Observation,Organization: Open Astronomy
Konstantinos Agiannis,Development of a Greek open source Morphological dictionary and application of it to Greek spelling tools,Organization: Open Technologies Aliance - GFOSS
Mariyam Fedoseeva,Development of a human activity recognition component,Organization: RoboComp
Isabel Najarro Borrego-1,Development of a Text To Speech component that operates offline for the EBO educational robot,Organization: RoboComp
Panagiotis Papantonakis,Development of a Tool for Extracting Quantitative Text Profiles,Organization: Open Technologies Aliance - GFOSS
Matthew Kear,Development of Autonomous Autorotations for Traditional Helicopters,Organization: Ardupilot.org
Liubove Orlov Savko,Development of human activity recognition component,Organization: RoboComp
Surya S Dwivedi,Development of LSTM and GRU layers in TMVA,Organization: CERN-HSF
Lakshya Khera,Development of modules with new UI/UX,Organization: JBoss Community
Shridhar Goel,Development of new features for the Open Event Organizer App,Organization: FOSSASIA
Saumya Biswas,Development of Qutip Functions for analysis of Bosonic/Fermionic Lattices,Organization: NumFOCUS
Sudharsana K J L,DFFML: Implementing Labeled and Versioned Datasets and Efficient Data Storage,Organization: Python Software Foundation
Shivam Goyal,DICOM Support,Organization: FFmpeg
Tejan Karmali,Differentiable Duckietown,Organization: The Julia Language
Avik Pal,Differentiable Ray Tracer in Julia,Organization: The Julia Language
Andreas Peter,Differentiable Tensor Networks,Organization: The Julia Language
Vladyslav Mokrousov,DirectDemod Automatic Picture Transmission (NOAA) – BigImage and Globe Projection,Organization: AerospaceResearch.net
Anubhav Singh,Discussion Forum Upgrades,Organization: Submitty
Alvis Wong,Distributed Sparse Linear Algebra Library in Chapel,Organization: Chapel
Nick Renieris,DNG Raw Image Format Support,Organization: FFmpeg
Ajay Tripathi (atb00ker),Dockerization of OpenWISP,Organization: OpenWISP
Zhibin Li,DRM ioctl decoding,Organization: strace
Dilina Dehigama,DroneSym - Drone Fleet Controlling System,Organization: SCoRe Lab (Sustainable Computing Research Lab)
Ján Sučan,Dual-stack ping command,Organization: FreeBSD
ayushjn20,Dunner,Organization: SCoRe Lab (Sustainable Computing Research Lab)
Jan Holzweber,Dynamic Code Loading for Eclipse 4diac,Organization: The Eclipse Foundation
Kyle Storey,Dynamic Partial Order Reduction Engine connected with Symbolic Data Race Detection for Habanero Java,Organization: The Java Pathfinder Team
Apoorv Goel,DynamicFusion Implementation,Organization: OpenCV
Lkop,EAT (Eap Additional Testsuite),Organization: JBoss Community
Sanatt Abrol,Eclipse SWT Chart - Extending the export options,Organization: The Eclipse Foundation
Arpit Bhatia,Ecosystem Improvements and a JuMPTutorials.jl Package,Organization: NumFOCUS
Xiaodong Zhao,Edge Animations for Large-Scale Network Graphs,Organization: Computational Biology @ University of Nebraska-Lincoln
Anirudh Jain,Edit Previews for non-release type Musicbrainz Entities,Organization: MetaBrainz Foundation Inc
Naresh Bachwani,Effect Plot and PCA Visualizer,Organization: NumFOCUS
Yatin Maan,Effects Usability,Organization: Pitivi
Paul Chaignon,Efficient syscall tracing for strace,Organization: strace
Haeyoon Cho,Empower Apache Nemo I/O with new hardware and off-heap memory,Organization: The Apache Software Foundation
dwlsalmeida,Enable 3rd party content in embedded navigation systems by extending RAMSES ecosystem with a Blender exporter,Organization: GENIVI Alliance
Giovan Isa Musthofa,Enable multiple network interfaces for Rook storage providers,Organization: Cloud Native Computing Foundation (CNCF)
Ayush Agrawal,End-to-End Mobile Swift for Tensorflow Application,Organization: TensorFlow
Eden-Grace Muamba,English-Lingala language pair,Organization: Apertium
Yashashvi Dave,Enhance and refactor stream settings system,Organization: Zulip Open Source Project
José C. García Alanis,Enhance statistical inference using linear regression in MNE-Python,Organization: Python Software Foundation
Sanjeev Singh,Enhance UI/UX of EvalAI,Organization: CloudCV
Keshav Garg,Enhance Websites Architecture,Organization: coala
Umang Taneja,Enhance workflow for Online license request,Organization: SPDX (Software Product Data Exchange)
liveHarshit,Enhancement of FOSSASIA Eventyay Attendee App,Organization: FOSSASIA
Gagandeep Singh-1,Enhancement of Statistics Module,Organization: SymPy
TRAN ANH DUC LE,ENHANCEMENT ON OPEN EVENT ANDROID AND SERVER,Organization: FOSSASIA
Abhishek Sansanwal,Enhancement to Amahi iOS Project,Organization: Amahi
Kristóf Umann,Enhancing bug reports in the Clang Static Analyzer,Organization: LLVM Compiler Infrastructure
Ayush Shridhar,Enhancing bugbug : A platform for Bugzilla machine learning projects,Organization: Mozilla
Siwani Agrawal,Enhancing Carbon Assistant-Function with new functionalities and unit-testing,Organization: AOSSIE - Australian Open Source Software Innovation and Education
Kunal Gulati,Enhancing JuxtaPiton with X86 Support,Organization: Free and Open Source Silicon Foundation
